City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Sassandra,CI,2021-03-24 20:03:45,4.95,-6.0833,78.55,89,97,5.41,overcast clouds
60,Kovdor,RU,2021-03-24 20:03:45,67.5662,30.4758,34.27,83,79,16.69,broken clouds
61,Diffa,NE,2021-03-24 20:03:45,13.3154,12.6113,89.13,14,100,7.7,overcast clouds
62,Alta Floresta,BR,2021-03-24 20:03:46,-9.8756,-56.0861,77.86,86,100,3.27,overcast clouds
63,Katsuura,JP,2021-03-24 20:03:46,35.1333,140.3,57.99,67,75,13.8,broken clouds
64,Carnarvon,AU,2021-03-24 20:03:46,-24.8667,113.6333,73.4,78,40,18.41,scattered clouds
65,Chau Doc,VN,2021-03-24 20:03:47,10.7,105.1167,79.05,77,99,5.32,overcast clouds
66,Bonthe,SL,2021-03-24 20:03:47,7.5264,-12.505,79.56,76,100,8.68,overcast clouds
67,Barrow,US,2021-03-24 20:03:47,71.2906,-156.7887,-9.4,70,1,8.05,clear sky
68,Butaritari,KI,2021-03-24 20:03:47,3.0707,172.7902,81.54,80,22,18.81,few clouds
69,Itaituba,BR,2021-03-24 20:03:48,-4.2761,-55.9836,77.0,94,90,5.75,heavy intensity rain
70,Nizhniy Kuranakh,RU,2021-03-24 20:03:48,58.8353,125.4869,9.23,97,100,1.48,light snow
71,Victoria,HK,2021-03-24 20:03:15,22.2855,114.1577,71.01,79,0,6.87,clear sky
72,Ahipara,NZ,2021-03-24 20:03:49,-35.1667,173.1667,60.4,75,1,3.42,clear sky
73,Bethel,US,2021-03-24 20:03:49,41.3712,-73.414,59.0,58,90,8.05,overcast clouds
74,Qaanaaq,GL,2021-03-24 20:03:49,77.484,-69.3632,-18.67,65,20,4.74,few clouds
75,Kavieng,PG,2021-03-24 20:03:49,-2.5744,150.7967,79.99,78,99,6.31,light rain
76,Severo-Kurilsk,RU,2021-03-24 20:03:50,50.6789,156.125,23.92,64,83,17.31,broken clouds
77,Batemans Bay,AU,2021-03-24 20:00:14,-35.7167,150.1833,60.01,90,41,1.01,scattered clouds
78,East London,ZA,2021-03-24 20:03:50,-33.0153,27.9116,69.15,84,100,12.82,light rain
79,Castro,BR,2021-03-24 20:03:50,-24.7911,-50.0119,80.6,63,98,1.52,very heavy rain
80,Saint George,US,2021-03-24 20:00:16,37.1041,-113.5841,57.2,23,1,5.75,clear sky
81,Amot,NO,2021-03-24 20:03:51,59.5714,7.9877,23.56,96,21,3.11,few clouds
82,Xingcheng,CN,2021-03-24 20:03:51,40.6167,120.7167,45.23,39,3,12.5,clear sky
83,Olafsvik,IS,2021-03-24 20:03:51,64.8945,-23.7142,33.6,62,96,16.69,overcast clouds
84,Iqaluit,CA,2021-03-24 20:03:52,63.7506,-68.5145,-16.01,63,40,5.75,scattered clouds
85,Cape Town,ZA,2021-03-24 20:00:20,-33.9258,18.4232,70.0,77,0,10.36,clear sky
86,Hermiston,US,2021-03-24 20:01:02,45.8404,-119.2895,55.4,47,75,18.41,broken clouds
87,Marzuq,YE,2021-03-24 20:03:52,14.4,46.4667,67.59,26,3,6.26,clear sky
88,Hilo,US,2021-03-24 20:00:45,19.7297,-155.09,73.99,83,90,6.91,moderate rain
89,Najran,SA,2021-03-24 20:03:53,17.4924,44.1277,77.0,16,0,2.75,clear sky
90,Kautokeino,NO,2021-03-24 20:03:53,69.0125,23.0412,30.09,69,89,34.94,overcast clouds
91,Porto Walter,BR,2021-03-24 20:03:53,-8.2686,-72.7439,81.18,89,86,0.31,overcast clouds
92,Bozhou,CN,2021-03-24 20:03:53,33.8772,115.7703,51.87,71,91,5.08,overcast clouds
93,Kaeo,NZ,2021-03-24 20:03:54,-35.1,173.7833,57.99,96,0,3.0,clear sky
94,Katima Mulilo,NA,2021-03-24 20:03:54,-17.5,24.2667,72.0,76,100,5.17,overcast clouds
95,Phangnga,TH,2021-03-24 20:03:54,8.4509,98.5298,77.0,94,40,2.3,scattered clouds
